k1,k2,Rev,Linearity
0.3,0.26,114.8992,0.741562074
0.32,0.36,111.7072,0.709849583
0.22,0.06,110.9392,0.747180413
0.32,0.32,107.4688,0.780315957
0.08,0.04,103.6592,0.783939582
0.14,0.08,101.6544,0.890480539
0.22,0.18,101.0696,0.711654527
0.22,0.08,100.3008,0.821704135
0.2,0.02,98.544,0.886383454
0.32,0.3,96.804,0.751293669
0.06,0.04,94.5216,0.778387051
0.18,0.12,86.3952,0.856532367
0.12,0.06,77.7736,0.821265875
0.12,0.02,71.9944,0.784974098
0.2,0.08,68.6496,0.804400234
0.18,0.02,63.5984,0.70037391
0.14,0.06,47.3928,0.830924171
0.22,0.1,43.964,0.776117144
0.1,0.04,42.6992,0.758052889
0.16,0.1,41.288,0.821460744
0.34,0.02,33.3616,0.820104428
