20130114 21:00:00,,1.05503,1.05598,1.05404,1.05481,1.05515,1.05615,1.05421,1.05498,0
20130115 01:00:00,,1.05481,1.05688,1.05404,1.0557,1.05498,1.05703,1.0542,1.05588,0
20130115 05:00:00,,1.0557,1.05576,1.05254,1.05367,1.05588,1.05589,1.05269,1.05384,0
20130115 09:00:00,,1.05367,1.05653,1.05305,1.05597,1.05384,1.05662,1.05322,1.05614,0
20130115 13:00:00,,1.05597,1.05795,1.05484,1.05683,1.05614,1.05811,1.05499,1.05699,0
20130115 21:00:00,,1.05683,1.05685,1.05458,1.0554,1.05699,1.05701,1.05475,1.05557,0
20130116 01:00:00,,1.0554,1.0567,1.05313,1.05383,1.05557,1.05686,1.05329,1.05403,0
20130116 05:00:00,,1.05383,1.05578,1.05361,1.05435,1.05403,1.05594,1.05372,1.05455,0
20130116 09:00:00,,1.05435,1.05636,1.05435,1.05542,1.05455,1.0565,1.05451,1.05559,0
20130116 13:00:00,,1.05542,1.05754,1.05319,1.05436,1.05559,1.05776,1.05342,1.05451,0
20130116 21:00:00,,1.05436,1.05439,1.0493,1.05055,1.05451,1.05455,1.04948,1.05068,0
20130117 01:00:00,,1.05055,1.05271,1.05006,1.05198,1.05068,1.05284,1.05021,1.05214,0
20130117 05:00:00,,1.05198,1.05441,1.05087,1.05354,1.05214,1.05453,1.05102,1.05372,0
20130117 09:00:00,,1.05354,1.05495,1.05241,1.05456,1.05372,1.05508,1.05248,1.05468,0
20130117 13:00:00,,1.05456,1.05562,1.05355,1.05457,1.05468,1.05577,1.05374,1.05491,0
20130117 17:00:00,,1.05457,1.0552,1.053,1.05474,1.05491,1.05536,1.05317,1.05501,0
20130117 21:00:00,,1.05474,1.05575,1.0508,1.05199,1.05501,1.05602,1.05096,1.05215,0
20130118 01:00:00,,1.05199,1.05281,1.04956,1.05003,1.05215,1.05297,1.04972,1.05019,0
20130118 05:00:00,,1.05003,1.05182,1.04902,1.05116,1.05019,1.05197,1.04918,1.05133,0
20130118 09:00:00,,1.05116,1.05127,1.0485,1.05026,1.05133,1.05145,1.04866,1.05043,0
20130118 13:00:00,,1.05026,1.05205,1.04922,1.05187,1.05043,1.05221,1.0494,1.05203,0
20130120 21:00:00,,1.05187,1.05211,1.05067,1.05086,1.05203,1.05228,1.05085,1.05104,0
20130121 01:00:00,,1.05086,1.05235,1.0507,1.0523,1.05104,1.05252,1.05088,1.05245,0
20130121 05:00:00,,1.0523,1.05247,1.05145,1.05199,1.05245,1.05265,1.05162,1.05218,0
20130121 09:00:00,,1.05199,1.05214,1.05035,1.05119,1.05218,1.05231,1.05052,1.05139,0
20130121 13:00:00,,1.05119,1.05221,1.05039,1.0506,1.05139,1.05235,1.05057,1.05076,0
20130121 21:00:00,,1.0506,1.0558,1.05058,1.05529,1.05076,1.05594,1.05076,1.05549,0
20130122 01:00:00,,1.05529,1.05701,1.05479,1.05653,1.05549,1.05717,1.05493,1.05673,0
20130122 05:00:00,,1.05653,1.05778,1.0556,1.05646,1.05673,1.05795,1.05577,1.05661,0
20130122 09:00:00,,1.05646,1.05699,1.0548,1.05565,1.05661,1.05717,1.05495,1.05582,0
20130122 13:00:00,,1.05565,1.05737,1.05298,1.05327,1.05582,1.05784,1.05311,1.05345,0
20130122 21:00:00,,1.05327,1.05391,1.05267,1.05366,1.05345,1.05408,1.05284,1.05384,0
20130123 01:00:00,,1.05366,1.05669,1.05331,1.05624,1.05384,1.05684,1.05345,1.0564,0
20130123 05:00:00,,1.05624,1.0566,1.05493,1.05504,1.0564,1.05675,1.05511,1.0552,0
20130123 09:00:00,,1.05504,1.05552,1.05319,1.05457,1.0552,1.0557,1.05333,1.05474,0
20130123 13:00:00,,1.05457,1.05556,1.05126,1.05233,1.05474,1.05579,1.05142,1.05249,0
20130123 21:00:00,,1.05233,1.05476,1.05069,1.05142,1.05249,1.05492,1.05086,1.0516,0
20130124 01:00:00,,1.05142,1.05279,1.05,1.05077,1.0516,1.05294,1.05018,1.05094,0
20130124 05:00:00,,1.05077,1.05087,1.04599,1.04687,1.05094,1.05105,1.04619,1.04703,0
20130124 09:00:00,,1.04687,1.04763,1.04498,1.04562,1.04703,1.04774,1.04511,1.04581,0
20130124 13:00:00,,1.04562,1.04719,1.04429,1.04496,1.04581,1.04734,1.04455,1.04522,0
20130124 17:00:00,,1.04496,1.04556,1.0438,1.0446,1.04522,1.04591,1.04394,1.04478,0
20130124 21:00:00,,1.0446,1.04556,1.04386,1.04481,1.04478,1.04574,1.04404,1.04495,0
