20170314 17:00:00,,0.75565,0.77187,0.75542,0.77081,0.756,0.77203,0.75559,0.7712,261030
20170315 17:00:00,,0.77081,0.77156,0.76628,0.76757,0.7712,0.77239,0.76646,0.76796,243024
20170316 17:00:00,,0.76757,0.7717,0.76625,0.77014,0.76796,0.77189,0.76644,0.77086,169460
20170319 17:00:00,,0.76831,0.77472,0.76831,0.77265,0.7697,0.77493,0.76962,0.77304,177373
20170320 17:00:00,,0.77265,0.77486,0.76811,0.76893,0.77304,0.77513,0.76839,0.76935,246110
20170321 17:00:00,,0.76893,0.76893,0.76383,0.76744,0.76935,0.76935,0.76403,0.76786,244981
20170322 17:00:00,,0.76744,0.76766,0.76216,0.7625,0.76786,0.76793,0.76234,0.76285,227773
20170323 17:00:00,,0.7625,0.76398,0.76031,0.76213,0.76285,0.76417,0.76049,0.76266,208843
20170326 17:00:00,,0.7631,0.76475,0.76073,0.76153,0.76411,0.76492,0.76091,0.76171,195467
20170327 17:00:00,,0.76153,0.76538,0.75865,0.76325,0.76171,0.76556,0.75878,0.76365,182884
20170328 17:00:00,,0.76325,0.76743,0.76299,0.76664,0.76365,0.7676,0.76317,0.76704,176605
20170329 17:00:00,,0.76664,0.76788,0.76387,0.76401,0.76704,0.76804,0.76407,0.76447,176803
20170330 17:00:00,,0.76401,0.7662,0.76209,0.76267,0.76447,0.76638,0.76232,0.76327,193084
20170402 17:00:00,,0.76313,0.76395,0.75902,0.76016,0.76407,0.76426,0.75919,0.76054,161811
20170403 17:00:00,,0.76016,0.76143,0.75443,0.75604,0.76054,0.76162,0.75462,0.75651,186740
20170404 17:00:00,,0.75604,0.75865,0.75531,0.75655,0.75651,0.75883,0.75606,0.75694,194285
20170405 17:00:00,,0.75655,0.75762,0.75316,0.7543,0.75694,0.7578,0.75334,0.75468,215611
20170406 17:00:00,,0.7543,0.75447,0.74935,0.75003,0.75468,0.75534,0.74951,0.75072,270993
20170409 17:00:00,,0.74905,0.75082,0.74751,0.75007,0.74957,0.75097,0.7477,0.75043,190157
20170410 17:00:00,,0.75007,0.75142,0.74731,0.74971,0.75043,0.75159,0.74751,0.75011,218917
20170411 17:00:00,,0.74971,0.7528,0.74719,0.75207,0.75011,0.75296,0.74743,0.75251,237573
20170412 17:00:00,,0.75207,0.75947,0.75166,0.75671,0.75251,0.75965,0.75251,0.75707,203832
20170413 17:00:00,,0.75671,0.75814,0.75549,0.75737,0.75707,0.75872,0.75584,0.75869,62042
20170416 17:00:00,,0.75709,0.76098,0.75663,0.75884,0.75841,0.76116,0.75756,0.75927,107305
20170417 17:00:00,,0.75884,0.75954,0.75327,0.75568,0.75927,0.75971,0.75347,0.75614,192685
20170418 17:00:00,,0.75568,0.75626,0.74905,0.7495,0.75614,0.75642,0.74921,0.74987,187318
20170419 17:00:00,,0.7495,0.75461,0.74908,0.75253,0.74987,0.75482,0.74937,0.75291,166761
20170420 17:00:00,,0.75253,0.75453,0.75149,0.75431,0.75291,0.75498,0.75167,0.75456,150405
20170423 17:00:00,,0.75854,0.75854,0.7538,0.75672,0.75966,0.75966,0.754,0.75715,145459
20170424 17:00:00,,0.75672,0.75711,0.75197,0.75334,0.75715,0.75735,0.75214,0.75372,134254
20170425 17:00:00,,0.75334,0.75518,0.7454,0.74714,0.75372,0.75633,0.74558,0.74748,199800
20170426 17:00:00,,0.74714,0.74916,0.74393,0.74652,0.74748,0.74935,0.7441,0.7469,172424
20170427 17:00:00,,0.74652,0.74902,0.74471,0.74851,0.7469,0.7492,0.74487,0.74906,149415
20170430 17:00:00,,0.74664,0.75394,0.74664,0.75227,0.74776,0.75452,0.74749,0.75276,91738
20170501 17:00:00,,0.75227,0.75553,0.75097,0.75337,0.75276,0.75573,0.75115,0.75374,119847
20170502 17:00:00,,0.75337,0.75451,0.74189,0.74212,0.75374,0.7547,0.74209,0.7426,146157
20170503 17:00:00,,0.74212,0.74296,0.73823,0.74065,0.7426,0.74311,0.73839,0.74107,164237
20170504 17:00:00,,0.74065,0.74257,0.73669,0.74138,0.74107,0.74275,0.73686,0.74235,182616
20170507 17:00:00,,0.74091,0.74237,0.73768,0.73815,0.7417,0.74257,0.73788,0.73884,145079
20170508 17:00:00,,0.73815,0.73976,0.73278,0.73426,0.73884,0.73995,0.73293,0.73462,202772
20170509 17:00:00,,0.73426,0.73937,0.73375,0.73613,0.73462,0.73955,0.73399,0.73679,187034
20170510 17:00:00,,0.73613,0.73827,0.73361,0.73785,0.73679,0.73841,0.73393,0.73823,193701
20170511 17:00:00,,0.73785,0.74201,0.73678,0.73846,0.73823,0.74218,0.73693,0.73905,173982
20170514 17:00:00,,0.73898,0.74451,0.73832,0.74113,0.73997,0.74469,0.73871,0.74152,151291
20170515 17:00:00,,0.74113,0.74373,0.73939,0.74259,0.74152,0.74394,0.73957,0.74306,173880
20170516 17:00:00,,0.74259,0.7443,0.7388,0.74307,0.74306,0.74447,0.73897,0.74342,213559
20170517 17:00:00,,0.74307,0.74662,0.74077,0.74167,0.74342,0.74678,0.74094,0.74207,270398
20170518 17:00:00,,0.74167,0.74687,0.74054,0.74561,0.74207,0.74715,0.74079,0.74593,170659
20170521 17:00:00,,0.74497,0.74879,0.7428,0.74744,0.74553,0.74897,0.74362,0.74786,131697
